Gene_acc,Gene_id,logFC,log_AveExpr,FDR,Desc
0,GFP.BLA,-0.021630758226439895,19.4272736091653,0.7807501614053003,GFP.BLA
1,Tb05.5K5.100:mRNA-p1;Tb927.5.4450:mRNA-p1,-0.5523141150481834,17.17154677119998,0.0013235832045465636,"hypothetical protein, conserved"
2,Tb05.5K5.110:mRNA-p1;Tb927.5.4460:mRNA-p1,0.055991674551400195,20.816427922002198,0.8117583967122283,"major vault protein, putative"
3,Tb05.5K5.120:mRNA-p1;Tb927.5.4470:mRNA-p1,-0.4113884066257292,17.864155593070432,0.0006259906807834646,"hypothetical protein, conserved"
4,Tb05.5K5.130:mRNA-p1;Tb927.5.4480:mRNA-p1,-0.29704249127019366,21.166590451146867,0.001334225392724631,"paraflagellar rod component par4, putative"
5,Tb05.5K5.150:mRNA-p1;Tb927.5.4500:mRNA-p1,0.1863689797578587,21.58032305342656,0.010862180078791023,"ras-like small GTPase, putative"
6,Tb05.5K5.160:mRNA-p1;Tb927.5.4520:mRNA-p1,0.18820492920481513,19.20235153936018,0.11612964097712511,Kinetochore interacting protein 1
8,Tb05.5K5.20:mRNA-p1;Tb927.5.4360:mRNA-p1,0.2361735973149095,17.26950101460401,0.028437394634847762,"hypothetical protein, conserved"
9,Tb05.5K5.200:mRNA-p1;Tb11.v5.0409.1-p1;Tb927.5.4560:mRNA-p1,-0.653318933707471,20.950665633566796,0.00019494055374283606,"guanine deaminase, putative"
10,Tb05.5K5.210:mRNA-p1,-0.5122387993665463,19.589903714958417,0.0055519632461854315,hypothetical protein
11,Tb05.5K5.220:mRNA-p1;Tb927.5.4580:mRNA-p1,-0.4941104450149698,15.20653460698913,0.010846139660000793,Flagellum adhesion protein 3
12,Tb05.5K5.240:mRNA-p1;Tb11.v5.0367.1-p1;Tb927.5.4600:mRNA-p1,-1.7943262205703583,17.11474348789826,0.00012276220305821486,"expression site-associated gene 3 (ESAG3) protein, putative"
13,Tb05.5K5.30:mRNA-p1;Tb927.5.4380:mRNA-p1,-0.23123888284094463,20.580832506890786,0.03833480785567756,Kinetoplastid-specific Protein Phosphatase 1
14,Tb05.5K5.40:mRNA-p1;Tb927.5.4390:mRNA-p1,-1.0080943501295003,17.264958049138738,0.0004424449802667515,"hypothetical protein, conserved"
15,Tb05.5K5.50:mRNA-p1;Tb927.5.4400:mRNA-p1,-0.2983239645858724,18.446697714642998,0.007366907856694903,"hypothetical protein, conserved"
16,Tb05.5K5.60:mRNA-p1;Tb927.5.4410:mRNA-p1,-0.21325419402901247,17.77356292761903,0.005001830569479762,"hypothetical protein, conserved"
17,Tb05.5K5.70:mRNA-p1;Tb927.5.4420:mRNA-p1,-0.008405240524130164,21.97887403869685,0.8791378967562234,"nucleolar RNA helicase II, putative"
18,Tb05.5K5.80:mRNA-p1;Tb927.5.4430:mRNA-p1,-0.6544028677762306,17.17022413850885,0.0001856671993343675,"calcium/calmodulin-dependent protein kinase, putative"
19,Tb05.5K5.90:mRNA-p1;Tb927.5.4440:mRNA-p1,-0.1359698076794409,17.800325371129297,0.11914115569131055,"dynein light chain, putative"
20,Tb06.3A7.960:mRNA-p1,-0.22403046903311719,18.643024667051034,0.0046950387002090916,hypothetical protein
21,Tb07.11L3.100:mRNA-p1;Tb927.7.2150:mRNA-p1,-0.1275639913547817,15.746135349210839,0.11941908562639664,SUMO-interacting motif-containing protein
22,Tb07.11L3.90:mRNA-p1;Tb927.7.2140:mRNA-p1,0.19253978122930704,19.13016821828718,0.01747408525522692,"zinc finger protein family member, putative"
23,Tb08.27P2.110:mRNA-p1;Tb927.8.480:mRNA-p1,2.052812733318813,17.764895931230498,3.756332072674651e-05,"phosphatidic acid phosphatase protein, putative"
24,Tb09.v4.0013:mRNA-p1,0.3276288693227727,18.319811867032342,0.07304885280119731,"retrotransposon hot spot (RHS) protein, putative"
25,Tb09.v4.0014:mRNA-p1;Tb09.v4.0110:mRNA-p1;Tb927.9.15850:mRNA-p1,-0.4823231614865371,17.994342421067515,0.006117087655917949,hypothetical protein
26,Tb09.v4.0016:mRNA-p1;Tb11.v5.0463.1-p1,-1.2537407590679095,17.65982624628954,4.504007723779014e-05,"expression site-associated gene (ESAG) protein, putative"
27,Tb09.v4.0018:mRNA-p1,-1.1308917048625187,16.373931642232545,0.00010019935680559155,"expression site-associated gene 3 (ESAG3) protein, putative"
30,Tb09.v4.0107:mRNA-p1,-1.2639274577703006,18.71776735733258,7.373627061904073e-05,"expression site-associated gene 5 (ESAG5) protein, putative"
31,Tb09.v4.0109:mRNA-p1,-0.0780791988968339,17.161174724441317,0.5183873974022585,hypothetical protein
32,Tb09.v4.0119:pseudogenic_transcript-p1,-0.12857339277275592,14.809837547551206,0.8361303655847142,"variant surface glycoprotein (VSG, pseudogene), putative"
33,Tb09.v4.0150:pseudogenic_transcript-p1,1.0943578603509572,17.60377441693955,0.00035881403698621747,"variant surface glycoprotein (VSG, pseudogene), putative"
36,Tb10.v4.0033:mRNA-p1;Tb927.10.4430:mRNA-p1,0.16769228858895602,20.175641854444407,0.471848703524133,pumillo RNA binding protein PUF1
37,Tb10.v4.0034:mRNA-p1;Tb927.10.4440:mRNA-p1,-0.3325084047581086,16.84017612614747,0.025158591902156385,predicted SAP domain protein
38,Tb10.v4.0035:mRNA-p1;Tb927.10.4450:mRNA-p1,-0.07380141292053466,21.318924758209935,0.3607190874516042,"stress-inducible protein STI1-like, putative"
39,Tb10.v4.0036:mRNA-p1;Tb927.10.4460:mRNA-p1,-0.12691560331864338,19.092151510802594,0.14470366939323948,"leucine carboxyl methyltransferase, putative"
41,Tb10.v4.0039:mRNA-p1;Tb927.10.4490:mRNA-p1,-0.47994922562104847,17.821018078267894,0.0010107127239129717,"hypothetical protein, conserved"
42,Tb10.v4.0040:mRNA-p1;Tb927.10.4500:mRNA-p1,-0.3411228592913673,19.560718613167367,0.0046430830791926924,cap guanine-N7 methyltransferase
43,Tb10.v4.0041:mRNA-p1,0.30125884941991643,19.606663052036815,0.004940961855709951,"PUB domain containing protein, putative"
44,Tb10.v4.0043:mRNA-p1;Tb11.v5.1012.1-p1;Tb927.10.4330:mRNA-p1,1.1734358071662605,16.733109481931383,0.0001708615365203196,"2-oxoisovalerate dehydrogenase beta subunit, mitochondrial precursor, putative"
45,Tb10.v4.0044:mRNA-p1;Tb927.10.4320:mRNA-p1,-0.6228339991898935,20.586267286218032,0.00012734151051061512,"hypothetical protein, conserved"
46,Tb10.v4.0045:mRNA-p1;Tb927.10.4310:mRNA-p1,0.4430762789350844,20.279066638518394,0.0006049777826243046,"prohibitin 2, putative"
47,Tb10.v4.0066:pseudogenic_transcript-p1,0.11685865551915953,18.774481263386086,0.16242461095225336,"expression site-associated gene 3 (ESAG3, pseudogene), putative"
49,Tb10.v4.0218:mRNA-p1,0.2033218385186366,18.003068321004164,0.12043708857421219,"expression site-associated gene 3 (ESAG3) protein, putative"
51,Tb10.v4.0246:mRNA-p1;Tb927.10.6900:mRNA-p1,-0.7205869076276059,17.182017522928348,0.0001702157158877415,base J-associated glucosyltransferase
52,Tb10.v4.0247:mRNA-p1;Tb11.v5.0496.1-p1;Tb927.10.6910:mRNA-p1;Tb927.10.6950:mRNA-p1,0.957451668146426,17.43070552576765,3.9419670169014165e-05,"sterol 24-c-methyltransferase, putative"
53,Tb11.0040:pseudogenic_transcript-p1;Tb11.v4.0043.1-p1;Tb927.5.190:pseudogenic_transcript-p1,-0.2686600667907939,17.16006520176164,0.07509934326883669,"variant surface glycoprotein, degenerate"
54,Tb11.01.2730.1-p1,-0.004445355540532603,18.428967987426013,0.9597771282775622,"hypothetical protein, conserved"
55,Tb11.01.6250:mRNA-p1,1.4449576015375811,17.016080786463487,0.3795180950551401,"expression site-associated gene 11 (ESAG11) protein, putative"
56,Tb11.02.5070b.1-p1,-0.06148714850207071,16.735874560577635,0.7781096133386559,"hypothetical protein, conserved"
57,Tb11.02.5080b.1-p1;Tb927.11.7213:mRNA-p1,-0.20194896479012314,19.246479078334936,0.01817290736227881,"Endoplasmic Reticulum-Golgi Intermediate Compartment (ERGIC)/Endoplasmic reticulum vesicle transporter, putative"
58,Tb11.02.5090.1-p1;Tb11.02.5090b.1-p1,-0.14112502121098558,16.82183429240074,0.07060581946133691,"proliferator-activated receptor-interacting protein (PRIP) interacting protein (PIMT), putative, pseudogene"
61,Tb11.02.5380.1-p1;Tb11.02.5380b.1-p1,0.07225580893604544,18.8249536928424,0.40774706790298054,"exosome complex exonuclease RRP44p homologue, putative"
62,Tb11.02.5390:mRNA-p1;Tb11.02.5390b.1-p1,0.04608318729229666,20.014843281899473,0.7051364517504639,"mRNA processing protein, putative"
63,Tb11.02.5400:mRNA-p1;Tb11.02.5400b.1-p1,0.9081514317327937,17.0476091264228,0.00618020146687474,"cystathionine beta-synthase, putative"
64,Tb11.02.5410:mRNA-p1;Tb11.02.5410b:mRNA-p1,0.03704006607961219,18.34101525045356,0.6822928058529591,"ubiquitin activating enzyme, putative"
65,Tb11.02.5420:mRNA-p1;Tb11.02.5420b.1-p1,0.16823910288846022,21.29527195837215,0.018287538282092883,"NADPH-cytochrome p450 reductase, putative"
66,Tb11.02.5430:mRNA-p1;Tb11.02.5430b.1-p1,0.17386730565506525,17.87810984107612,0.05726087330596189,"hypothetical protein, conserved"
67,Tb11.0290:mRNA-p1;Tb11.0390:mRNA-p1;Tb927.11.7705:mRNA-p1;Tb927.6.4980:mRNA-p1,0.3033143932216191,24.06480050223184,0.006243183465639694,40S ribosomal protein S14
68,Tb11.0320:mRNA-p1;Tb927.11.7690.1-p1,0.4519321358831352,15.700451025787663,0.0016798306576060438,hypothetical protein
69,Tb11.0330:mRNA-p1;Tb927.11.7670.1-p1,-0.05022559926594994,19.249719708833215,0.6387855751629741,"Cornifin (SPRR) family, putative"
